股票代码,企业名称,年份,人工智能词频数,大数据词频数,云计算词频数,区块链词频数,数字技术运用词频数,数字化转型指数,标准化转型指数(0-100),总词频数
600000,浦发银行,1999,0,0,0,0,0,-0.11,0,0
600001,邯郸钢铁,1999,0,0,0,0,0,-0.11,0,0
600002,齐鲁石化,1999,0,0,0,0,0,-0.11,0,0
600003,东北高速,1999,0,0,0,0,0,-0.11,0,0
600005,武钢股份,1999,0,0,0,0,0,-0.11,0,0
600006,东风汽车,1999,0,0,0,0,0,-0.11,0,0
600007,中国国贸,1999,0,0,0,0,0,-0.11,0,0
600008,首创股份,1999,0,0,0,0,0,-0.11,0,0
600009,上海机场,1999,0,0,0,0,0,-0.11,0,0
600051,宁波联合,1999,0,0,0,0,0,-0.11,0,0
600052,浙江广厦,1999,0,0,0,0,0,-0.11,0,0
600053,江西纸业,1999,0,0,0,0,0,-0.11,0,0
600054,黄山旅游,1999,0,0,0,0,0,-0.11,0,0
600055,万东医疗,1999,0,0,0,0,0,-0.11,0,0
600056,中技贸易,1999,0,0,0,0,0,-0.11,0,0
600057,ST厦新,1999,0,0,0,0,0,-0.11,0,0
600058,龙腾科技,1999,0,0,0,0,0,-0.11,0,0
600059,古越龙山,1999,0,0,0,0,0,-0.11,0,0
600060,海信电器,1999,0,0,0,0,0,-0.11,0,0
600061,中纺投资,1999,0,0,0,0,0,-0.11,0,0
600062,双鹤药业,1999,0,0,0,0,0,-0.11,0,0
600063,皖维高新,1999,0,0,0,0,0,-0.11,0,0
600064,南京高科,1999,0,0,0,0,0,-0.11,0,0
600065,大庆联谊,1999,0,0,0,0,0,-0.11,0,0
600066,宇通客车,1999,0,0,0,0,0,-0.11,0,0
600067,福州大通,1999,0,0,0,0,0,-0.11,0,0
600068,葛洲坝,1999,0,0,0,0,0,-0.11,0,0
600069,银鸽投资,1999,0,0,0,0,0,-0.11,0,0
600070,浙江富润,1999,0,0,0,0,0,-0.11,0,0
600071,凤凰光学,1999,0,0,0,0,0,-0.11,0,0
600072,江南重工,1999,0,0,0,0,0,-0.11,0,0
600073,上海梅林,1999,0,0,0,0,0,-0.11,0,0
600074,南京中达,1999,0,0,0,0,0,-0.11,0,0
600075,新疆天业,1999,0,0,0,0,0,-0.11,0,0
600076,青鸟华光,1999,0,0,0,0,0,-0.11,0,0
600077,国能集团,1999,0,0,0,0,0,-0.11,0,0
600078,澄星股份,1999,0,0,0,0,0,-0.11,0,0
600079,人福科技,1999,0,0,0,0,0,-0.11,0,0
600080,金花股份,1999,0,0,0,0,0,-0.11,0,0
600081,东风科技,1999,0,0,0,0,0,-0.11,0,0
600082,ST海泰,1999,0,0,0,0,0,-0.11,0,0
600083,ST红光,1999,0,0,0,0,0,-0.11,0,0
600084,新天国际,1999,0,0,0,0,0,-0.11,0,0
600085,同仁堂,1999,0,0,0,0,0,-0.11,0,0
600086,多佳股份,1999,0,0,0,0,0,-0.11,0,0
600087,南京水运,1999,0,0,0,0,0,-0.11,0,0
600088,中视传媒,1999,0,0,0,0,0,-0.11,0,0
600089,特变电工,1999,0,0,0,0,0,-0.11,0,0
600090,啤酒花,1999,0,0,0,0,0,-0.11,0,0
600091,明天科技,1999,0,0,0,0,0,-0.11,0,0
600092,精密股份,1999,0,0,0,0,0,-0.11,0,0
600093,禾嘉股份,1999,0,0,0,0,0,-0.11,0,0
600094,华源股份,1999,0,0,0,0,0,-0.11,0,0
600095,哈高科,1999,0,0,0,0,0,-0.11,0,0
600096,云天化,1999,0,0,0,0,0,-0.11,0,0
600097,华立科技,1999,0,0,0,0,0,-0.11,0,0
600098,广州控股,1999,0,0,0,0,0,-0.11,0,0
600099,林海股份,1999,0,0,0,0,0,-0.11,0,0
600100,清华同方,1999,0,0,0,0,5,12.04,83.33,5
600101,明星电力,1999,0,0,0,0,0,-0.11,0,0
600102,莱钢股份,1999,0,0,0,0,0,-0.11,0,0
